trailing_12m,next_month_ret,quintile,date,ticker
-0.12313201261257456,0.01619055171318018,1,2021-01-01,ISF.L
-0.024984515907495397,0.03768523649621258,3,2021-01-01,VMID.L
-0.09049954750133327,0.01255979215474623,3,2021-01-01,VUKG.L
-0.09156646767005805,0.015364679748241405,2,2021-01-01,CUKX.L
-0.15058507598728665,0.013030976986524445,1,2021-01-01,XUKX.L
-0.1744895013844877,0.025347563451450172,1,2021-01-01,IUKD.L
-0.09233901087175433,0.014497750661620623,2,2021-01-01,VUKE.L
0.011698642766487577,-0.013876040479205431,3,2021-01-01,XUKS.L
-0.11083543078144842,0.006268260787520408,2,2021-01-01,UKRE.L
-0.02048296586811671,0.03233368740584064,2,2021-02-01,ISF.L
0.10787218543277666,0.026895583898768116,3,2021-02-01,VMID.L
0.00934586355745326,0.04804329530876683,2,2021-02-01,VUKG.L
0.011059907834101379,0.04412032816773026,3,2021-02-01,CUKX.L
-0.05359793170677374,0.04734373108617729,1,2021-02-01,XUKX.L
-0.05992935925818377,0.06195382169233987,1,2021-02-01,IUKD.L
0.011629647424804546,0.03241548492254909,3,2021-02-01,VUKE.L
-0.09077616533677657,-0.044827139721019815,1,2021-02-01,XUKS.L
-0.04642269777214847,0.011783354928406764,2,2021-02-01,UKRE.L
0.1847941236310573,0.04033575472089157,2,2021-03-01,ISF.L
0.47753938934703233,0.05120820478156185,3,2021-03-01,VMID.L
0.22241467333180753,0.03775625217141099,3,2021-03-01,VUKG.L
0.2224119530416222,0.039462196612537026,2,2021-03-01,CUKX.L
0.13886467586503937,0.012645328730182648,1,2021-03-01,XUKX.L
0.3564431194899711,0.03060324462734476,3,2021-03-01,IUKD.L
0.22134028488300772,0.05152474772591131,2,2021-03-01,VUKE.L
-0.21550821685508148,-0.03942472898763594,1,2021-03-01,XUKS.L
0.11090612234400088,0.036913613541159185,1,2021-03-01,UKRE.L
0.18203326741299763,0.010909294329230157,1,2021-04-01,ISF.L
0.39667315647108814,0.007628124744254672,3,2021-04-01,VMID.L
0.2178207970484085,0.011966927669073257,2,2021-04-01,VUKG.L
0.22144139522954598,0.011926759616999849,3,2021-04-01,CUKX.L
0.19119928006279063,0.011705080744100593,2,2021-04-01,XUKX.L
0.30608448498389484,0.022313929822020517,3,2021-04-01,IUKD.L
0.21848229272849062,0.012011241328938604,2,2021-04-01,VUKE.L
-0.20995840791346954,-0.013145402291780184,1,2021-04-01,XUKS.L
0.11296401431366188,0.025899154982416572,1,2021-04-01,UKRE.L
0.16100424046141315,-0.009208791222325985,1,2021-05-01,ISF.L
0.36217683580915083,-0.024113087558463198,3,2021-05-01,VMID.L
0.19920052072205996,0.0033333233508834326,3,2021-05-01,VUKG.L
0.1986866978410109,-0.0019920318725099584,2,2021-05-01,CUKX.L
0.16746142014551135,0.0023413883189185025,2,2021-05-01,XUKX.L
0.2999306984449761,-0.02559936114982475,3,2021-05-01,IUKD.L
0.19834645289728114,-0.008821335802278618,2,2021-05-01,VUKE.L
-0.19137091223143676,-0.0056242857852635275,1,2021-05-01,XUKS.L
0.12890477609244355,-0.0021993788596306185,1,2021-05-01,UKRE.L
0.13965500108176454,0.0028737160556497887,1,2021-06-01,ISF.L
0.3231240759778766,0.035058078891476274,3,2021-06-01,VMID.L
0.1803922002861571,-0.0007119018451396952,3,2021-06-01,VUKG.L
0.1706747152176029,0.0013306719893546592,2,2021-06-01,CUKX.L
0.14645898534410628,-0.0014865175370110117,2,2021-06-01,XUKX.L
0.2582824185569452,0.017882088621451464,3,2021-06-01,IUKD.L
0.17353084392558715,0.011450788539527412,2,2021-06-01,VUKE.L
-0.1734129113236812,-0.001041826594195494,1,2021-06-01,XUKS.L
0.12245869409974519,0.05437172645296262,1,2021-06-01,UKRE.L
0.18929021054276451,0.018971817718758333,1,2021-07-01,ISF.L
0.38076160917700785,0.05472397043621324,3,2021-07-01,VMID.L
0.23152657808630805,0.018443755409206286,3,2021-07-01,VUKG.L
0.22183884716866253,0.020764119601328845,2,2021-07-01,CUKX.L
0.19215040136939,0.01736976598924378,2,2021-07-01,XUKX.L
0.3784373259783975,0.025000062356320685,3,2021-07-01,IUKD.L
0.22917620987350107,0.02035228947817136,2,2021-07-01,VUKE.L
-0.20475144889337216,-0.01884828123951332,1,2021-07-01,XUKS.L
0.1783063941237666,0.02650550232476978,1,2021-07-01,UKRE.L
